elapsed_s,time,rcCommand[3],setpoint[0],setpoint[1],setpoint[2],gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],vbatLatest,amperageLatest
241.800495,294897054,1349,-1,-10,0,-2,-11,0,0,-6,7,-454,-8,3763,788,859,764,878,1034,1068,980,1068,2194,635
241.801482,294898041,1349,-1,-10,0,-3,-11,0,-5,-3,-7,-496,-28,3748,785,851,772,880,1027,1064,987,1071,2194,635
241.802468,294899027,1349,-1,-10,0,-3,-11,0,-6,-16,-5,-432,-53,3787,790,845,776,876,1031,1079,997,1068,2194,635
241.803455,294900014,1349,-1,-10,0,-3,-11,0,-5,-21,5,-378,-29,3817,792,839,781,873,1024,1079,980,1079,2239,635
241.804442,294901001,1349,-1,-10,0,-3,-11,0,-1,-9,5,-434,-7,3757,793,841,777,873,1031,1064,1000,1079,2239,635
241.805428,294901987,1349,-1,-10,0,-3,-11,0,-1,1,-5,-531,-40,3728,796,842,779,871,1027,1083,1007,1071,2239,635
241.806415,294902974,1350,-1,-10,0,-3,-11,0,-4,-8,-6,-478,-67,3744,800,844,782,870,1017,1087,990,1079,2239,635
241.807401,294903960,1351,-1,-10,0,-3,-10,0,-6,-22,7,-395,-35,3778,802,861,770,873,1020,1068,1000,1064,2239,635
241.808388,294904947,1352,-1,-10,0,-3,-10,0,-3,-13,3,-410,-23,3750,803,864,771,877,1038,1071,1000,1071,2239,635
241.809375,294905934,1353,-1,-10,0,-3,-10,0,-1,-2,-4,-516,-53,3741,801,857,781,883,1031,1071,984,1083,2239,635
241.810361,294906920,1354,-1,-10,0,-3,-10,0,-6,-4,-5,-491,-64,3741,801,853,787,885,1034,1079,990,1071,2239,625
241.811348,294907907,1354,-1,-10,0,-4,-11,0,-4,-17,7,-410,-44,3770,805,839,803,883,1042,1071,984,1087,2239,625
241.812334,294908893,1354,-1,-10,0,-4,-11,0,-1,-16,3,-365,-57,3777,806,842,799,883,1042,1095,1000,1079,2239,625
241.813321,294909880,1355,-1,-10,0,-3,-11,0,-3,-8,-5,-476,-63,3781,813,854,787,877,1024,1060,1000,1099,2239,625
241.814307,294910866,1355,-1,-10,0,-3,-11,0,-4,-3,-4,-476,-63,3781,815,850,791,876,1031,1087,1003,1087,2239,625
241.815294,294911853,1355,-1,-10,0,-3,-10,0,-2,-11,5,-491,-34,3790,812,859,782,878,1031,1091,1017,1099,2239,625
241.81628,294912839,1355,-1,-10,0,-3,-10,0,-3,-17,3,-402,-21,3825,809,870,771,880,1027,1068,993,1091,2239,625
241.817267,294913826,1355,-1,-10,0,-3,-10,0,-1,-10,-5,-360,-32,3833,808,863,777,880,1038,1087,1017,1091,2239,625
241.818253,294914812,1355,-1,-10,0,-2,-10,0,-1,-1,-3,-427,-47,3813,810,865,775,879,1042,1071,1014,1091,2239,625
241.81924,294915799,1356,-1,-10,0,-3,-10,0,-6,-10,7,-421,-46,3841,810,863,779,880,1042,1099,1000,1087,2239,625
241.820227,294916786,1357,-1,-11,0,-3,-10,0,-3,-17,3,-284,-81,3898,807,855,791,890,1045,1091,1003,1087,2239,625
241.821213,294917772,1358,-1,-11,0,-3,-9,1,-3,-13,-6,-289,-71,3892,802,863,786,901,1042,1091,1000,1099,2239,625
241.8222,294918759,1358,-1,-11,0,-3,-10,1,1,-1,-1,-432,-52,3838,811,857,795,897,1024,1103,1007,1091,2239,625
241.823186,294919745,1359,-1,-11,0,-3,-11,1,-2,-8,8,-432,-65,3854,829,848,807,884,1042,1103,1010,1091,2199,625
241.824173,294920732,1360,-1,-11,0,-2,-11,1,-3,-17,1,-309,-110,3921,843,864,793,873,1038,1103,1010,1095,2199,625
241.82516,294921719,1360,-1,-11,0,-1,-10,0,-2,-16,-7,-344,-96,3937,842,880,779,875,1045,1079,1020,1071,2199,625
241.826146,294922705,1360,-1,-11,0,-1,-10,1,2,-4,1,-344,-96,3937,833,886,772,884,1049,1091,1020,1099,2199,625
241.827133,294923692,1361,-1,-11,0,-2,-10,1,-3,-3,10,-447,-30,3893,830,876,783,888,1053,1095,1007,1095,2199,625
241.828119,294924678,1361,0,-11,0,-2,-11,1,-3,-15,0,-364,-61,3928,829,862,796,889,1049,1115,1027,1091,2199,625
241.829106,294925665,1361,0,-11,0,-2,-11,1,-2,-22,-9,-243,-95,3979,827,857,800,892,1064,1095,1014,1111,2199,625
241.830092,294926651,1361,0,-11,0,-2,-10,1,2,-6,3,-376,-75,3955,825,860,796,892,1038,1107,1014,1095,2199,715
241.831079,294927638,1361,0,-10,0,-1,-10,1,-2,-1,11,-501,-12,3903,825,867,789,892,1049,1099,1027,1103,2199,715
241.832065,294928624,1361,0,-10,0,-2,-11,1,-2,-13,-1,-397,-45,3925,833,853,803,884,1064,1095,1024,1103,2199,715
241.833052,294929611,1361,0,-10,0,-1,-11,1,1,-19,-10,-291,-78,3965,840,855,801,880,1053,1091,1020,1099,2199,715
241.834039,294930598,1362,0,-10,0,0,-10,1,3,-10,5,-436,-56,3938,838,877,779,885,1056,1103,1020,1119,2199,715
241.835025,294931584,1362,0,-10,0,-1,-11,1,-3,-1,11,-534,-3,3891,838,875,782,886,1060,1107,1038,1099,2199,715
241.836012,294932571,1362,0,-10,0,0,-10,1,0,-7,-4,-463,-55,3918,836,876,783,889,1064,1099,1020,1111,2199,715
241.836998,294933557,1363,0,-10,0,0,-10,1,0,-19,-9,-439,-74,3949,829,882,777,896,1060,1083,1014,1103,2199,715
241.837985,294934544,1363,0,-10,0,-1,-10,1,1,-14,7,-578,-30,3939,825,876,782,901,1045,1103,1014,1075,2199,715
241.838971,294935530,1363,0,-10,0,0,-10,1,2,-4,12,-578,-30,3939,833,873,784,895,1056,1091,1017,1115,2199,715
241.839958,294936517,1363,0,-10,0,1,-11,1,-1,-9,-7,-541,-33,3952,849,870,787,878,1056,1107,1020,1115,2199,715
241.840945,294937504,1363,0,-10,0,1,-12,1,-1,-19,-9,-437,-89,3993,862,855,802,865,1045,1099,1031,1091,2199,715
241.841931,294938490,1363,0,-10,0,1,-11,1,2,-13,7,-471,-84,4018,856,857,800,870,1056,1083,1027,1124,2199,715
241.842918,294939477,1363,0,-10,0,0,-11,0,2,-3,10,-556,-38,3991,840,867,791,885,1060,1124,1020,1103,2275,715
241.843904,294940463,1363,0,-10,0,0,-11,1,-1,-7,-7,-492,-70,3992,835,865,792,890,1053,1128,1031,1095,2275,715
241.844891,294941450,1363,0,-10,0,1,-11,1,-1,-19,-8,-405,-97,4023,835,865,792,890,1045,1103,1020,1124,2275,715
241.845877,294942436,1363,0,-10,0,1,-11,1,0,-17,9,-497,-48,4034,836,868,789,890,1064,1091,1024,1107,2275,715
241.846864,294943423,1364,1,-10,0,1,-11,1,5,-6,9,-533,-20,4025,838,868,790,889,1056,1119,1020,1115,2275,715
241.847851,294944410,1364,1,-10,0,1,-12,1,-1,-7,-8,-464,-47,4028,848,863,797,881,1064,1107,1014,1111,2275,715
241.848838,294945397,1364,1,-10,0,1,-13,1,2,-17,-7,-422,-57,4044,862,856,805,868,1064,1095,1024,1119,2275,715
241.849824,294946383,1364,1,-10,0,2,-12,0,3,-15,7,-487,-24,4046,866,865,798,865,1075,1095,1020,1119,2275,737
241.85081,294947369,1365,1,-10,0,3,-11,0,7,-7,7,-513,-24,4047,857,889,775,875,1068,1119,1034,1103,2275,737
241.851797,294948356,1365,1,-10,0,3,-11,0,-2,-8,-8,-451,-76,4072,846,897,768,885,1064,1103,1031,1099,2275,737
241.852784,294949343,1365,1,-10,0,3,-11,0,4,-13,-5,-451,-76,4072,846,888,778,886,1060,1124,1020,1111,2275,737
241.85377,294950329,1365,1,-10,0,3,-11,0,3,-14,6,-423,-34,4115,847,888,780,885,1071,1119,1020,1103,2275,737
241.854757,294951316,1365,1,-10,0,3,-11,0,6,-8,6,-410,3,4144,847,882,787,885,1068,1103,1034,1107,2275,737
241.855743,294952302,1366,1,-10,0,3,-10,0,-2,-7,-7,-424,16,4130,840,883,788,892,1071,1119,1017,1128,2275,737
241.85673,294953289,1366,1,-10,0,3,-10,0,1,-10,-2,-441,-50,4108,834,891,780,898,1075,1115,1031,1103,2275,737
241.857716,294954275,1366,1,-10,0,2,-10,0,5,-12,3,-468,-36,4121,827,882,789,905,1064,1128,1017,1115,2275,737
241.858703,294955262,1366,1,-10,0,2,-9,0,7,-8,3,-452,-3,4141,824,885,787,909,1079,1103,1034,1111,2275,737
241.85969,294956249,1366,1,-10,0,3,-9,0,0,-10,-6,-419,-3,4142,833,893,781,902,1064,1103,1024,1124,2275,737
241.860676,294957235,1367,1,-10,0,3,-10,-1,2,-10,-1,-454,-49,4130,850,887,789,885,1075,1103,1027,1115,2275,737
241.861663,294958222,1367,1,-10,0,3,-11,-1,7,-12,0,-454,-60,4158,865,884,794,871,1079,1119,1042,1128,2275,737
241.862649,294959208,1367,1,-10,0,4,-11,-1,5,-10,1,-459,-33,4164,867,886,794,870,1064,1119,1014,1115,2275,737
241.863637,294960196,1368,1,-10,0,3,-11,-1,0,-10,-2,-485,-24,4136,860,887,795,877,1083,1124,1034,1107,2197,737
241.864622,294961181,1368,1,-10,0,4,-11,-1,2,-7,0,-505,-40,4115,858,889,793,878,1071,1115,1020,1115,2197,737
241.865609,294962168,1368,1,-10,0,4,-10,-1,5,-12,-2,-462,-38,4153,858,894,789,879,1079,1115,1031,1128,2197,737
241.866595,294963154,1368,1,-10,0,4,-10,-1,3,-13,0,-462,-38,4153,852,895,787,885,1091,1111,1020,1124,2197,737
241.867582,294964141,1368,1,-10,0,3,-10,-1,0,-11,2,-456,-57,4158,842,895,787,895,1068,1119,1034,1124,2197,737
241.868568,294965127,1368,1,-10,0,3,-10,-1,1,-7,-1,-504,-67,4133,838,886,796,899,1083,1103,1031,1115,2197,737
241.869599,294966158,1368,1,-10,0,2,-11,-1,6,-11,-6,-502,-101,4136,846,867,816,890,1091,1115,1031,1136,2197,737
