elapsed_s,loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3]
254.700365,1032636,344702086,-1,0,1,0,-18,-12,-2,-1,0,0,0,1,-1,9,1224,1,-1,5,223,2244,292,-105,550,1,0,4,5,3,4,-22,22,1588,484,517,425,546,665,703,591,765
254.701352,1032640,344703073,-1,0,1,0,-18,-12,-2,0,0,0,0,1,-1,9,1224,1,-1,5,222,2244,292,-105,550,1,-1,4,0,1,5,-36,61,1648,485,516,427,543,656,698,593,741
254.702339,1032644,344704060,-1,0,1,0,-18,-12,-1,1,0,0,0,1,-1,9,1223,1,-1,5,222,2244,292,-105,550,1,-1,4,1,5,5,-46,45,1675,485,511,432,542,668,688,611,767
254.703327,1032648,344705048,-1,0,1,0,-18,-12,0,2,0,0,0,1,-1,9,1223,1,-1,5,222,2214,292,-105,550,1,-1,4,0,-1,5,-41,80,1657,484,506,437,541,670,699,593,750
254.704312,1032652,344706033,-1,1,2,0,-18,-12,-1,3,0,0,0,1,0,11,1223,1,-1,5,222,2214,292,-105,550,1,-1,4,1,-5,5,-17,63,1576,487,507,437,537,662,698,598,756
254.705299,1032656,344707020,-2,1,2,0,-18,-12,-2,2,0,0,0,1,0,11,1223,1,-1,5,222,2214,292,-105,550,2,-1,4,3,-7,2,4,49,1583,487,513,431,535,661,693,596,741
254.706285,1032660,344708006,-2,1,2,0,-18,-12,-2,1,0,0,0,1,0,11,1223,1,-1,5,222,2214,292,-105,550,2,-1,4,2,-3,2,4,49,1583,483,513,431,537,661,688,600,744
254.707272,1032664,344708993,-1,1,2,0,-18,-11,-1,0,0,0,1,1,0,11,1222,1,0,6,221,2214,230,-105,550,1,-1,4,1,0,5,6,11,1607,479,511,432,538,661,699,610,759
254.708259,1032668,344709980,-2,1,2,0,-18,-11,0,-1,0,0,1,1,0,11,1222,1,0,6,221,2214,230,-105,550,2,-1,4,2,7,5,-18,-1,1659,474,514,430,539,670,703,596,746
254.709245,1032672,344710966,-2,1,2,-1,-18,-11,0,-1,0,0,1,1,0,11,1222,1,0,6,220,2214,230,-105,550,2,-1,4,-1,0,7,-41,38,1631,473,515,430,537,661,701,607,767
254.710232,1032676,344711953,-2,1,2,-1,-18,-11,-1,-1,0,0,1,1,0,11,1221,1,0,6,220,2214,230,-105,550,2,-1,4,4,3,5,-64,5,1595,474,514,431,534,668,693,605,733
254.711219,1032680,344712940,-2,1,2,-1,-18,-11,-1,0,0,0,1,1,-1,13,1221,1,0,6,220,2214,230,-105,549,2,-1,4,0,-9,5,-70,9,1605,476,511,434,531,648,683,604,739
254.712205,1032684,344713926,-1,2,2,-1,-18,-11,1,1,0,0,1,1,-1,13,1221,1,0,6,220,2214,230,-105,549,1,-1,5,3,-3,4,-81,-81,1615,473,505,439,531,665,693,600,761
254.713192,1032688,344714913,-1,1,2,-1,-18,-11,1,1,0,0,1,1,-1,13,1220,1,0,6,219,2214,230,-105,549,2,-1,5,0,-7,2,-71,-41,1679,471,506,436,530,661,701,598,741
254.714179,1032692,344715900,-1,1,2,-1,-18,-11,1,1,0,0,1,1,-1,13,1220,1,0,7,218,2214,230,-105,549,1,-1,5,0,4,6,-72,-91,1675,467,503,437,530,656,690,596,743
254.715165,1032696,344716886,-1,1,3,-1,-18,-11,0,1,0,0,1,1,-1,13,1219,1,0,7,218,2214,230,-105,549,1,-1,5,2,2,7,-86,13,1682,468,505,434,525,654,703,604,756
254.716152,1032700,344717873,-2,1,3,-1,-18,-11,0,1,0,-1,1,1,-1,13,1219,1,-1,7,217,2214,230,-113,549,2,-1,5,1,2,7,-102,-44,1653,468,506,432,523,668,693,589,737
254.717152,1032704,344718873,-1,1,2,-1,-18,-11,0,2,0,-1,1,1,-1,13,1219,1,-1,7,217,2214,230,-113,549,1,-1,6,3,-1,7,-92,-6,1658,467,503,433,523,652,703,604,741
254.718125,1032708,344719846,-1,1,2,-1,-18,-11,0,2,0,-1,1,1,-1,16,1218,1,-1,7,217,2214,230,-113,549,1,-2,6,-1,-6,6,-92,-6,1658,467,503,432,523,662,693,607,744
254.719112,1032712,344720833,-1,1,2,-1,-18,-10,0,2,0,-1,2,1,-1,16,1218,1,-1,7,217,2214,230,-113,549,1,-2,6,2,-4,5,-89,-88,1640,466,504,433,523,644,703,609,733
254.720098,1032716,344721819,-1,1,2,-1,-18,-10,0,0,0,-1,2,1,-1,16,1218,1,-1,8,217,2214,230,-113,549,1,-1,6,0,-4,5,-51,-55,1640,463,508,430,524,654,685,596,732
254.721085,1032720,344722806,-1,1,2,-1,-18,-10,0,0,0,-1,2,1,-1,16,1218,1,-1,8,217,2214,230,-113,549,1,-1,6,3,1,8,-28,-37,1612,460,511,429,525,656,698,607,723
254.722072,1032724,344723793,-1,1,2,-1,-18,-10,1,-1,0,-1,3,1,-1,16,1218,1,-1,8,217,2214,230,-113,549,1,-1,7,1,4,7,-31,2,1605,456,512,431,528,661,690,596,728
254.723059,1032728,344724780,-1,0,3,-1,-18,-10,1,-2,0,-1,3,1,-1,16,1218,1,-1,9,217,2220,230,-113,549,1,-1,7,1,2,9,-41,20,1614,451,516,429,530,662,693,602,728
254.724045,1032732,344725766,-1,0,3,-1,-18,-10,1,-2,0,-1,3,1,-1,17,1218,1,-1,9,217,2220,230,-113,548,1,-1,7,1,2,6,-53,8,1647,450,515,431,530,659,683,596,725
254.725032,1032736,344726753,-1,0,3,-1,-18,-10,0,-2,0,-1,3,1,-1,17,1218,1,-1,9,217,2220,230,-113,548,1,-1,7,-2,-6,8,-53,36,1646,453,518,428,529,651,703,605,733
254.726018,1032740,344727739,-1,0,3,-1,-18,-10,0,-1,0,0,2,1,-1,17,1218,1,-1,9,217,2220,230,-113,548,1,-1,7,2,-5,6,-24,13,1627,457,516,429,526,644,698,605,728
254.727005,1032744,344728726,-1,0,3,-1,-18,-10,1,-1,0,0,2,1,-1,17,1218,1,-1,9,217,2220,245,-113,548,1,-1,8,0,-6,9,18,76,1585,456,511,433,529,649,682,596,732
254.727992,1032748,344729713,0,0,2,-1,-18,-10,2,-1,0,0,1,1,-1,17,1218,1,-1,9,217,2220,245,-113,548,1,-1,8,1,0,9,13,66,1594,455,507,434,533,636,694,602,728
254.728978,1032752,344730699,0,0,2,-1,-18,-10,2,0,0,0,1,1,-1,17,1218,1,-1,9,217,2220,245,-113,548,1,-1,8,1,6,10,2,74,1621,458,505,434,533,637,688,591,718
254.730016,1032756,344731737,0,0,2,-1,-18,-10,2,-1,0,0,1,1,-1,17,1218,1,-1,9,217,2220,245,-113,548,1,-1,9,-1,4,8,-22,55,1656,458,504,432,535,638,691,604,728
254.730952,1032760,344732673,0,0,1,-1,-18,-10,1,0,0,0,1,1,-2,18,1218,1,-1,9,217,2220,245,-113,547,1,-1,9,0,3,9,-17,82,1627,463,503,432,533,642,688,605,735
254.731938,1032764,344733659,0,0,1,-1,-18,-10,2,0,0,0,0,1,-2,18,1218,1,-1,10,217,2220,245,-113,547,0,-1,9,0,-6,8,1,88,1581,461,500,434,536,652,709,600,733
254.732925,1032768,344734646,1,0,1,-1,-18,-10,3,0,0,0,0,1,-2,18,1218,1,-1,10,218,2220,245,-113,547,0,-1,9,0,-8,10,24,96,1545,457,498,434,541,637,703,592,723
254.733912,1032772,344735633,0,0,1,-1,-18,-9,3,-1,0,0,0,1,-2,18,1218,1,-1,10,218,2220,245,-113,547,0,-1,9,2,-7,8,37,108,1564,457,500,432,542,644,680,593,728
254.734898,1032776,344736619,1,-1,1,-1,-18,-9,2,-1,0,0,0,1,-2,18,1218,1,-1,10,218,2220,245,-113,547,0,-1,9,-1,2,10,34,60,1594,456,503,429,544,652,694,606,711
254.735885,1032780,344737606,1,0,1,-1,-18,-9,1,0,0,0,0,1,-2,18,1218,1,-1,10,218,2220,245,-113,547,0,-1,9,1,6,9,34,60,1594,462,501,432,538,644,691,600,733
254.736872,1032784,344738593,1,-1,1,-1,-18,-9,2,0,0,0,0,1,-2,18,1218,1,-1,10,218,2220,245,-113,547,0,-1,9,-2,7,8,3,69,1600,459,501,432,540,632,686,600,739
254.737858,1032788,344739579,1,0,1,-1,-18,-9,2,1,0,0,0,1,-1,19,1218,1,-1,10,218,2220,245,-113,547,0,-1,9,1,0,10,-16,28,1576,459,499,436,539,638,683,592,728
254.738845,1032792,344740566,1,0,1,-1,-18,-9,1,0,0,0,0,1,-1,19,1218,1,-1,10,218,2220,245,-113,547,0,-1,9,0,-7,9,-5,67,1525,459,502,433,539,642,686,601,733
254.739832,1032796,344741553,1,-1,1,-1,-18,-9,1,0,0,0,0,1,-1,19,1218,1,-1,10,218,2220,245,-113,547,0,-1,9,-1,-10,11,15,81,1516,457,504,433,539,637,701,601,728
254.740818,1032800,344742539,1,0,2,-1,-18,-9,1,1,0,0,0,1,-1,19,1218,1,-1,11,218,2220,245,-113,547,0,-1,9,1,-4,7,51,85,1497,461,502,436,534,634,690,601,718
254.741805,1032804,344743526,1,0,2,-1,-18,-9,0,1,0,0,0,1,-1,19,1218,1,-1,11,218,2220,245,-113,547,0,-1,9,-3,0,9,44,88,1532,461,503,436,533,638,685,595,739
254.742792,1032808,344744513,1,0,2,-1,-18,-9,1,1,0,0,1,1,-1,19,1218,1,-1,11,218,2220,245,-113,547,0,-1,9,2,9,7,4,33,1512,460,501,439,532,629,680,589,730
254.743785,1032812,344745506,1,0,2,-1,-18,-9,1,1,0,0,1,1,-1,19,1218,1,-1,11,218,2236,245,-113,547,0,-1,9,-3,1,10,-26,53,1546,460,502,440,532,625,688,605,737
254.744765,1032816,344746486,1,1,2,-1,-18,-9,1,2,0,0,1,1,-1,19,1218,1,-1,11,218,2236,245,-113,546,0,-1,9,3,2,10,-40,13,1522,462,498,445,529,633,699,596,739
254.745795,1032820,344747516,1,1,2,-1,-18,-9,0,2,0,0,1,1,-1,19,1218,1,-1,11,218,2236,245,-113,546,0,-2,9,-2,-11,12,-21,78,1554,466,500,444,525,640,679,598,721
254.746738,1032824,344748459,1,1,3,-1,-18,-9,0,2,0,0,0,1,-1,19,1218,1,-1,11,218,2236,105,-113,546,0,-1,9,1,-8,10,20,-5,1529,465,500,444,525,638,682,594,719
