file,frame,field,min_raw,max_raw,mean_raw
LOG00020,I,loopIteration,0.0,4056.0,2028.0
LOG00020,I,time,57011173.0,58011899.0,57511537.800985225
LOG00020,I,axisP[0],0.0,2.0,1.0945812807881774
LOG00020,I,axisP[1],0.0,2.0,1.0019704433497536
LOG00020,I,axisP[2],-2.0,1.0,-0.5379310344827586
LOG00020,I,axisI[0],0.0,0.0,0.0
LOG00020,I,axisI[1],0.0,0.0,0.0
LOG00020,I,axisI[2],0.0,0.0,0.0
LOG00020,I,axisD[0],-2.0,2.0,0.01083743842364532
LOG00020,I,axisD[1],-2.0,2.0,0.0019704433497536944
LOG00020,I,axisF[0],0.0,0.0,0.0
LOG00020,I,axisF[1],0.0,0.0,0.0
LOG00020,I,axisF[2],0.0,0.0,0.0
LOG00020,I,rcCommand[0],1.0,1.0,1.0
LOG00020,I,rcCommand[1],1.0,1.0,1.0
LOG00020,I,rcCommand[2],-1.0,-1.0,-1.0
LOG00020,I,rcCommand[3],1000.0,1000.0,1000.0
LOG00020,I,setpoint[0],1.0,1.0,1.0
LOG00020,I,setpoint[1],1.0,1.0,1.0
LOG00020,I,setpoint[2],-1.0,0.0,-0.07783251231527094
LOG00020,I,setpoint[3],0.0,0.0,0.0
LOG00020,I,vbatLatest,2489.0,2519.0,2506.1093596059113
LOG00020,I,amperageLatest,0.0,182.0,95.03054187192119
LOG00020,I,baroAlt,-41.0,0.0,-22.191133004926108
LOG00020,I,rssi,723.0,732.0,724.7152709359606
LOG00020,I,gyroADC[0],-1.0,1.0,-0.0748768472906404
LOG00020,I,gyroADC[1],-1.0,1.0,-0.020689655172413793
LOG00020,I,gyroADC[2],-1.0,1.0,-0.009852216748768473
LOG00020,I,gyroUnfilt[0],-1.0,1.0,-0.12216748768472907
LOG00020,I,gyroUnfilt[1],-1.0,1.0,-0.14285714285714285
LOG00020,I,gyroUnfilt[2],-2.0,1.0,-0.08275862068965517
LOG00020,I,accSmooth[0],-87.0,-45.0,-64.1231527093596
LOG00020,I,accSmooth[1],-22.0,22.0,2.6325123152709358
LOG00020,I,accSmooth[2],1984.0,2088.0,2027.4975369458127
LOG00020,I,motor[0],158.0,173.0,163.86502463054188
LOG00020,I,motor[1],158.0,165.0,158.10246305418718
LOG00020,I,motor[2],158.0,176.0,165.98029556650246
LOG00020,I,motor[3],158.0,177.0,164.07093596059113
LOG00020,I,eRPM[0],12.0,260.0,218.7822660098522
LOG00020,I,eRPM[1],12.0,248.0,209.91034482758621
LOG00020,I,eRPM[2],12.0,264.0,222.15369458128077
LOG00020,I,eRPM[3],12.0,260.0,218.96650246305418
LOG00020,G,time,57011420.0,57998331.0,57545640.55555555
LOG00020,G,GPS_numSat,11.0,12.0,11.555555555555555
LOG00020,G,GPS_coord[0],459169176.0,459169178.0,459169177.4444444
LOG00020,G,GPS_coord[1],168454539.0,168454541.0,168454540.2222222
LOG00020,G,GPS_altitude,1507.0,1507.0,1507.0
LOG00020,G,GPS_speed,2.0,12.0,6.0
LOG00020,G,GPS_ground_course,2752.0,3309.0,3247.1111111111113
LOG00020,H,last_main_time,57011173.0,57011173.0,57011173.0
LOG00020,H,GPS_home[0],459169175.0,459169175.0,459169175.0
LOG00020,H,GPS_home[1],168454541.0,168454541.0,168454541.0
LOG00020,S,last_main_time,57011173.0,57985253.0,57498213.0
LOG00020,S,flightModeFlags,0.0,1.0,0.5
LOG00020,S,stateFlags,7.0,7.0,7.0
LOG00020,S,failsafePhase,0.0,0.0,0.0
LOG00020,S,rxSignalReceived,1.0,1.0,1.0
LOG00020,S,rxFlightChannelsValid,1.0,1.0,1.0
LOG00021,I,loopIteration,0.0,1515252.0,757626.0
LOG00021,I,time,79312163.0,453077530.0,266196544.28507394
LOG00021,I,axisP[0],-952.0,765.0,0.0189248549420032
LOG00021,I,axisP[1],-893.0,446.0,-0.23347869930889567
LOG00021,I,axisP[2],-221.0,751.0,0.10243285623023436
LOG00021,I,axisI[0],-98.0,93.0,4.336080503888452
LOG00021,I,axisI[1],-144.0,171.0,-20.974496718706277
LOG00021,I,axisI[2],-209.0,316.0,8.62306831320912
LOG00021,I,axisD[0],-1590.0,1923.0,0.005063170843738616
LOG00021,I,axisD[1],-579.0,649.0,0.01379304883135259
LOG00021,I,axisF[0],-738.0,636.0,0.010530233835074733
LOG00021,I,axisF[1],-900.0,470.0,0.016380070430343122
LOG00021,I,axisF[2],-295.0,334.0,-0.002383755616212706
LOG00021,I,rcCommand[0],-328.0,500.0,-10.906434292291204
LOG00021,I,rcCommand[1],-339.0,500.0,-13.506277487104489
LOG00021,I,rcCommand[2],-208.0,479.0,15.866858141462565
LOG00021,I,rcCommand[3],1000.0,2000.0,1239.1589249605347
LOG00021,I,setpoint[0],-385.0,1170.0,-6.2451229363223115
LOG00021,I,setpoint[1],-414.0,1170.0,-8.811239816902226
LOG00021,I,setpoint[2],-160.0,748.0,9.869033351460084
LOG00021,I,setpoint[3],0.0,1000.0,239.16202146699965
LOG00021,I,vbatLatest,1792.0,2710.0,2281.061700465136
LOG00021,I,amperageLatest,0.0,6835.0,525.2539874450258
LOG00021,I,baroAlt,-1541.0,5396.0,1169.6566784754523
LOG00021,I,rssi,373.0,749.0,551.1508154397673
LOG00021,I,gyroADC[0],-401.0,1186.0,-6.302673607628018
LOG00021,I,gyroADC[1],-437.0,1246.0,-8.682854910325384
LOG00021,I,gyroADC[2],-164.0,382.0,9.753984805207834
LOG00021,I,gyroUnfilt[0],-407.0,1192.0,-6.305857228085551
LOG00021,I,gyroUnfilt[1],-439.0,1268.0,-8.68772009482226
LOG00021,I,gyroUnfilt[2],-175.0,396.0,9.752575142418179
LOG00021,I,accSmooth[0],-5648.0,2530.0,-421.6754106236834
LOG00021,I,accSmooth[1],-4964.0,3270.0,125.20633609106316
LOG00021,I,accSmooth[2],-5886.0,18825.0,2645.3570353788405
LOG00021,I,motor[0],158.0,2047.0,587.8399689557408
LOG00021,I,motor[1],158.0,2047.0,700.1301245466112
LOG00021,I,motor[2],158.0,2047.0,637.0606075805013
LOG00021,I,motor[3],158.0,2047.0,684.1713611429356
LOG00021,I,eRPM[0],12.0,2308.0,799.8284936670767
LOG00021,I,eRPM[1],12.0,2335.0,935.9805630203741
LOG00021,I,eRPM[2],12.0,2335.0,862.6797135269552
