file,t,axis,rms_8_80_dps,command_band_rms,throttle_at_peak,throttle_recent_max,recent_drop_pp,gyro_minmax_300ms,dominant_hz
LOG00026,250.819,roll,17.99,2.1,84.0,92.4,8.4,"[65.0, 175.0]",29.7
LOG00026,117.824,roll,16.92,2.39,66.2,66.2,0.0,"[-39.0, 42.0]",29.7
LOG00026,244.862,roll,15.98,1.78,35.7,70.4,34.7,"[-34.0, 84.0]",17.8
LOG00026,95.562,roll,14.12,0.45,35.2,37.6,2.4,"[-157.0, -78.0]",9.9
LOG00026,295.153,pitch,13.34,0.91,37.2,37.2,0.0,"[-82.0, -19.0]",17.8
LOG00026,230.694,roll,12.65,1.74,15.4,95.1,79.7,"[-32.0, 77.0]",15.8
LOG00026,128.444,pitch,12.64,0.38,30.7,30.7,0.0,"[-41.0, 5.0]",13.9
LOG00026,255.585,roll,11.45,0.61,21.3,36.1,14.8,"[-21.0, 22.0]",11.9
LOG00026,336.858,pitch,11.42,0.86,31.0,76.3,45.3,"[-153.0, -92.0]",11.9
LOG00026,145.756,pitch,11.2,0.64,38.9,49.0,10.1,"[-88.0, -39.0]",17.8
LOG00026,248.483,pitch,11.08,0.37,45.2,53.2,8.0,"[-61.0, -8.0]",13.9
LOG00026,302.718,roll,10.76,1.69,40.3,66.3,26.0,"[-55.0, 16.0]",15.8
LOG00026,215.828,roll,10.1,0.68,30.6,43.9,13.3,"[-32.0, 9.0]",13.9
LOG00026,265.33,roll,9.95,1.21,36.4,83.1,46.7,"[-112.0, -51.0]",21.8
LOG00026,288.005,roll,9.5,0.64,26.1,36.5,10.4,"[-43.0, 2.0]",11.9
LOG00026,277.031,roll,9.22,1.01,24.5,24.5,0.0,"[-42.0, 35.0]",9.9
LOG00026,218.236,roll,9.18,2.82,30.7,75.1,44.4,"[-125.0, 20.0]",17.8
LOG00026,243.036,pitch,8.97,7.8,53.9,88.3,34.4,"[-37.0, 125.0]",13.9
LOG00026,226.892,roll,8.89,4.85,72.9,72.9,0.0,"[-72.0, 181.0]",17.8
LOG00026,273.222,roll,8.27,0.46,59.8,59.8,0.0,"[-2.0, 39.0]",17.8
LOG00026,320.148,roll,8.18,0.42,25.7,25.7,0.0,"[-4.0, 45.0]",13.9
LOG00026,308.173,pitch,8.14,0.57,21.8,23.6,1.8,"[-21.0, 15.0]",9.9
LOG00026,219.947,roll,8.08,0.98,28.9,75.1,46.2,"[-118.0, -26.0]",27.7
LOG00026,322.648,roll,7.76,0.44,32.8,32.8,0.0,"[-20.0, 17.0]",9.9
LOG00026,74.84,roll,7.62,0.37,47.1,51.7,4.6,"[53.0, 86.0]",15.8
LOG00026,312.954,roll,7.48,0.69,51.0,51.0,0.0,"[45.0, 89.0]",11.9
LOG00026,148.603,roll,7.4,0.58,42.1,42.1,0.0,"[33.0, 120.0]",15.8
LOG00026,84.701,roll,7.32,6.83,0.0,0.0,0.0,"[38.0, 172.0]",9.9
LOG00026,213.63,roll,7.19,0.81,40.4,69.0,28.6,"[-84.0, 24.0]",11.9
LOG00026,344.3,pitch,6.93,0.74,37.0,37.1,0.1,"[-109.0, -43.0]",13.9
LOG00026,260.036,pitch,6.4,6.64,46.1,59.5,13.4,"[-7.0, 165.0]",21.8
LOG00026,139.48,pitch,6.39,2.94,17.8,17.8,0.0,"[-38.0, 6.0]",9.9
LOG00026,161.957,pitch,6.34,2.38,48.7,50.7,2.0,"[-67.0, 86.0]",31.7
LOG00026,151.132,roll,6.26,0.81,43.2,43.2,0.0,"[-27.0, 8.0]",13.9
LOG00026,247.172,pitch,6.19,5.14,59.4,75.2,15.8,"[-122.0, 79.0]",33.6
LOG00026,341.042,pitch,6.16,0.32,27.6,31.5,3.9,"[-46.0, -16.0]",13.9
LOG00026,210.02,pitch,6.11,0.26,27.5,68.8,41.3,"[-76.0, -18.0]",11.9
LOG00026,102.908,roll,5.89,0.72,27.4,78.1,50.7,"[-88.0, -54.0]",11.9
LOG00026,119.972,roll,5.67,0.57,29.4,29.4,0.0,"[2.0, 61.0]",15.8
LOG00026,314.85,roll,5.66,2.91,40.0,52.5,12.5,"[-142.0, 24.0]",23.7
LOG00026,306.293,pitch,5.65,4.54,13.7,86.5,72.8,"[-99.0, 141.0]",9.9
LOG00026,122.564,roll,5.6,4.8,14.0,28.4,14.4,"[-9.0, 134.0]",11.9
LOG00026,144.059,pitch,5.58,3.26,20.2,60.1,39.9,"[-56.0, 52.0]",9.9
LOG00026,261.372,pitch,5.47,0.35,42.8,42.8,0.0,"[-53.0, -5.0]",11.9
LOG00026,101.747,pitch,5.44,4.12,47.2,71.6,24.4,"[-136.0, 40.0]",19.8
LOG00026,14.771,roll,5.43,0.58,28.1,28.1,0.0,"[-83.0, -47.0]",13.9
LOG00026,263.675,roll,5.43,0.65,19.7,100.0,80.3,"[-25.0, 48.0]",11.9
LOG00026,239.109,roll,5.38,0.37,34.2,34.2,0.0,"[-17.0, 4.0]",11.9
LOG00026,59.31,pitch,5.33,5.69,28.4,58.2,29.8,"[-59.0, 92.0]",11.9
LOG00026,78.875,pitch,5.28,0.46,35.1,35.1,0.0,"[-46.0, -22.0]",11.9
LOG00026,165.702,pitch,5.25,5.35,24.7,29.6,4.9,"[-53.0, 11.0]",13.9
LOG00026,269.976,roll,5.12,2.63,0.0,100.0,100.0,"[-161.0, -10.0]",9.9
LOG00026,112.622,roll,5.11,0.31,23.1,24.0,0.9,"[-48.0, -16.0]",13.9
LOG00026,33.297,pitch,5.1,1.97,23.6,28.2,4.6,"[-42.0, 19.0]",11.9
LOG00026,131.821,roll,4.95,0.39,25.0,34.0,9.0,"[-32.0, -10.0]",15.8
LOG00026,350.83,roll,4.79,0.44,27.6,27.6,0.0,"[-25.0, -2.0]",11.9
LOG00026,211.86,pitch,4.78,2.93,65.3,65.3,0.0,"[-27.0, 79.0]",13.9
LOG00026,130.421,pitch,4.6,1.4,33.7,70.3,36.6,"[-103.0, 24.0]",9.9
LOG00026,310.509,pitch,4.55,2.44,47.4,51.2,3.8,"[-24.0, 67.0]",13.9
LOG00026,196.947,roll,4.53,0.41,18.8,31.0,12.2,"[-47.0, -25.0]",13.9
LOG00026,366.048,roll,4.39,1.6,21.5,40.0,18.5,"[-26.0, 14.0]",19.8
LOG00026,317.265,roll,4.29,2.44,26.6,88.8,62.2,"[-47.0, 136.0]",17.8
LOG00026,18.96,pitch,4.24,2.71,51.2,55.5,4.3,"[-8.0, 47.0]",11.9
LOG00026,125.83,pitch,4.18,0.67,92.6,92.6,0.0,"[-10.0, 16.0]",31.7
LOG00026,194.024,pitch,4.09,2.33,33.7,33.7,0.0,"[-49.0, 39.0]",11.9
LOG00026,252.305,roll,4.09,1.42,79.8,79.8,0.0,"[9.0, 116.0]",11.9
LOG00026,77.541,roll,4.06,2.02,16.6,38.9,22.3,"[25.0, 89.0]",43.5
LOG00026,52.97,pitch,4.04,5.06,39.0,51.3,12.3,"[-40.0, 69.0]",11.9
LOG00026,289.266,pitch,4.01,0.42,16.9,20.7,3.8,"[-14.0, 9.0]",9.9
LOG00025,211.917,roll,19.19,1.62,63.5,63.5,0.0,"[-88.0, 43.0]",19.8
LOG00025,101.822,roll,18.22,0.65,44.5,44.5,0.0,"[-90.0, 5.0]",19.8
LOG00025,73.067,roll,16.8,0.44,32.5,32.5,0.0,"[-50.0, 31.0]",25.7
LOG00025,149.328,pitch,15.26,0.13,38.8,38.8,0.0,"[-26.0, 33.0]",15.8
LOG00025,81.928,roll,14.97,0.51,35.0,71.5,36.5,"[-139.0, -42.0]",21.8
LOG00025,260.041,roll,13.8,2.16,47.7,75.4,27.7,"[-142.0, -54.0]",15.8
LOG00025,125.751,pitch,13.75,7.27,96.5,96.5,0.0,"[-140.0, 48.0]",25.7
LOG00025,199.656,roll,12.26,0.86,64.2,100.0,35.8,"[-48.0, 14.0]",13.9
LOG00025,201.223,roll,12.01,0.78,32.6,100.0,67.4,"[-158.0, -107.0]",21.8
LOG00025,215.007,roll,11.73,0.43,36.8,36.8,0.0,"[-26.0, 44.0]",9.9
LOG00025,228.622,roll,11.34,0.08,30.8,32.9,2.1,"[-22.0, 38.0]",9.9
LOG00025,233.143,pitch,11.34,1.02,33.4,54.3,20.9,"[-116.0, -61.0]",9.9
LOG00025,244.557,roll,10.78,1.63,32.8,100.0,67.2,"[-156.0, -86.0]",25.7
LOG00025,270.823,pitch,10.54,1.82,46.9,47.0,0.1,"[-83.0, 14.0]",11.9
LOG00025,107.502,pitch,9.63,0.52,39.3,41.0,1.7,"[-69.0, -29.0]",11.9
LOG00025,251.72,roll,9.53,0.8,49.3,49.3,0.0,"[-75.0, 16.0]",15.8
LOG00025,120.437,roll,9.52,1.07,27.5,86.4,58.9,"[-67.0, 18.0]",11.9
LOG00025,129.517,pitch,9.39,0.97,50.1,80.8,30.7,"[-93.0, -35.0]",19.8
LOG00025,180.697,pitch,8.33,4.99,73.0,78.2,5.2,"[-83.0, 145.0]",17.8
LOG00025,123.565,pitch,8.12,0.42,45.4,83.2,37.8,"[-85.0, -51.0]",15.8
LOG00025,154.736,pitch,8.12,0.73,40.4,40.4,0.0,"[-102.0, -57.0]",15.8
LOG00025,43.696,roll,7.4,0.69,37.6,59.6,22.0,"[-127.0, -26.0]",15.8
LOG00025,266.762,pitch,7.25,0.85,36.7,84.5,47.8,"[-107.0, -79.0]",21.8
LOG00025,262.394,roll,7.12,0.54,38.8,38.8,0.0,"[82.0, 144.0]",17.8
LOG00025,209.07,roll,7.0,0.54,32.9,32.9,0.0,"[-59.0, -11.0]",9.9
LOG00025,205.935,pitch,6.93,0.31,66.1,66.1,0.0,"[-57.0, 6.0]",11.9
LOG00025,71.96,roll,6.81,5.4,17.3,78.8,61.5,"[-209.0, 4.0]",9.9
LOG00025,347.024,roll,6.65,0.92,24.0,42.4,18.4,"[22.0, 96.0]",11.9
LOG00025,119.285,pitch,6.32,3.44,69.0,86.9,17.9,"[-39.0, 63.0]",21.8
LOG00025,254.563,roll,6.29,0.8,44.7,44.7,0.0,"[-12.0, 62.0]",9.9
LOG00025,80.172,roll,6.25,0.5,38.9,38.9,0.0,"[-8.0, 19.0]",11.9
LOG00025,268.652,pitch,6.14,2.78,93.6,100.0,6.4,"[-42.0, 9.0]",15.8
LOG00025,177.302,pitch,5.5,3.5,29.5,57.0,27.5,"[-33.0, 62.0]",11.9
LOG00025,202.531,pitch,5.26,3.46,59.1,82.3,23.2,"[-3.0, 129.0]",11.9
LOG00025,230.658,pitch,5.23,2.41,47.0,47.0,0.0,"[-94.0, 2.0]",13.9
LOG00025,99.588,pitch,5.14,0.88,0.0,96.6,96.6,"[-27.0, 18.0]",9.9
LOG00025,65.918,roll,5.1,0.34,26.3,26.3,0.0,"[-46.0, -24.0]",11.9
LOG00025,131.353,roll,5.09,1.99,0.0,100.0,100.0,"[71.0, 120.0]",13.9
LOG00025,40.948,pitch,5.05,4.21,47.6,65.7,18.1,"[-109.0, 46.0]",17.8
LOG00025,77.475,pitch,5.05,2.18,73.3,86.9,13.6,"[-41.0, 58.0]",9.9
LOG00025,197.586,roll,5.04,2.17,67.7,68.1,0.4,"[-23.0, 116.0]",11.9
LOG00025,250.025,pitch,5.0,1.87,75.6,75.6,0.0,"[-82.0, 3.0]",13.9
LOG00025,162.011,roll,4.97,0.85,33.6,47.5,13.9,"[-84.0, -26.0]",21.8
LOG00025,136.875,pitch,4.77,2.62,60.3,78.2,17.9,"[0.0, 45.0]",11.9
LOG00025,67.061,roll,4.74,2.33,41.0,52.7,11.7,"[-4.0, 145.0]",31.7
LOG00025,204.638,pitch,4.74,2.14,27.5,98.1,70.6,"[-101.0, 7.0]",11.9
LOG00025,290.771,pitch,4.72,5.05,52.3,55.7,3.4,"[-24.0, 106.0]",13.9
LOG00025,313.551,pitch,4.65,3.58,45.4,49.0,3.6,"[-146.0, 47.0]",13.9
LOG00025,182.812,roll,4.59,2.03,52.6,52.9,0.3,"[-94.0, 17.0]",15.8
LOG00025,325.897,roll,4.58,0.88,30.8,30.8,0.0,"[6.0, 49.0]",15.8
LOG00025,146.151,roll,4.51,0.43,35.8,35.8,0.0,"[-7.0, 19.0]",15.8
LOG00025,174.133,pitch,4.51,2.75,55.8,69.7,13.9,"[-17.0, 144.0]",11.9
LOG00025,141.079,roll,4.38,0.37,27.6,32.8,5.2,"[61.0, 79.0]",19.8
LOG00025,242.683,pitch,4.37,1.66,35.5,44.2,8.7,"[5.0, 45.0]",21.8
LOG00025,15.013,pitch,4.34,2.41,57.1,63.7,6.6,"[-44.0, 30.0]",11.9
LOG00025,178.799,roll,4.29,1.21,55.0,68.9,13.9,"[-132.0, -31.0]",13.9
LOG00025,75.588,pitch,4.19,3.87,23.5,67.0,43.5,"[-30.0, 91.0]",33.6
LOG00025,235.843,roll,4.19,2.93,36.3,39.4,3.1,"[-29.0, 55.0]",9.9
LOG00025,350.532,roll,4.17,0.61,32.1,32.1,0.0,"[-22.0, 2.0]",9.9
LOG00025,47.198,roll,4.13,0.38,29.6,30.3,0.7,"[-50.0, -17.0]",11.9
LOG00025,301.878,pitch,4.04,2.56,43.4,57.8,14.4,"[-53.0, 32.0]",11.9
LOG00023,136.491,roll,28.83,3.2,50.1,52.3,2.2,"[-69.0, 59.0]",21.8
LOG00023,172.882,roll,20.18,3.04,52.3,52.6,0.3,"[-135.0, 49.0]",29.7
LOG00023,132.663,roll,18.99,1.28,40.9,64.6,23.7,"[-135.0, 3.0]",9.9
LOG00023,218.619,roll,16.26,1.19,51.2,51.2,0.0,"[-65.0, -15.0]",21.8
LOG00023,68.01,roll,15.71,0.28,41.3,41.3,0.0,"[-60.0, 4.0]",29.7
LOG00023,171.664,roll,14.78,1.52,9.3,100.0,90.7,"[-130.0, 33.0]",9.9
LOG00023,191.32,roll,14.61,0.61,41.8,43.4,1.6,"[-30.0, 48.0]",11.9
LOG00023,118.734,roll,14.43,0.71,46.7,51.8,5.1,"[-108.0, -15.0]",21.8
LOG00023,125.08,pitch,14.3,1.43,49.6,49.8,0.2,"[-60.0, 13.0]",21.8
LOG00023,232.248,pitch,13.34,1.16,45.8,90.4,44.6,"[-163.0, -65.0]",9.9
LOG00023,275.45,roll,11.88,0.59,42.6,90.1,47.5,"[-170.0, -104.0]",9.9
LOG00023,212.289,roll,9.48,0.01,58.6,58.6,0.0,"[-23.0, 19.0]",17.8
LOG00023,38.84,roll,9.38,0.52,31.4,31.4,0.0,"[-29.0, 15.0]",17.8
LOG00023,254.987,roll,9.25,0.64,42.1,47.3,5.2,"[-150.0, -102.0]",15.8
LOG00023,273.073,roll,9.22,0.62,25.4,85.8,60.4,"[-22.0, 29.0]",9.9
LOG00023,261.322,pitch,9.2,0.83,30.5,83.0,52.5,"[-65.0, -31.0]",11.9
